RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
190,Wil Myers,SD,406,56,100,21,0,18,53,15,7,49,154,.246,.330,.431,.761,-0.1
77,Willson Contreras,CHC,322,52,90,17,1,23,62,1,2,37,92,.280,.368,.553,.920,3.0
172,Willy Adames,TB,497,65,125,23,1,18,45,4,2,44,142,.252,.316,.410,.727,3.6
48,Wilson Ramos,NYM,447,50,130,17,0,14,72,1,0,41,63,.291,.353,.423,.776,1.8
24,Xander Bogaerts,BOS,567,104,172,50,0,31,106,4,2,71,115,.303,.379,.556,.935,4.6
126,Yadier Molina,STL,368,41,97,22,0,8,49,4,0,20,44,.264,.306,.389,.694,0.9
254,Yan Gomes,WSH,275,30,58,11,0,10,37,1,0,34,72,.211,.309,.360,.669,1.1
109,Yandy Diaz,TB,304,53,82,20,1,14,38,2,2,35,60,.270,.343,.480,.823,1.9
153,Yasiel Puig,CLE/CIN,519,71,133,25,2,24,77,17,7,40,126,.256,.317,.451,.768,1.2
160,Yasmani Grandal,MIL,473,71,120,24,2,27,73,5,1,99,124,.254,.385,.484,.869,2.7
19,Yoan Moncada,CHW,464,75,143,29,4,23,72,10,3,39,139,.308,.363,.537,.900,3.8
186,Yolmer Sanchez,CHW,449,54,111,17,4,2,39,5,4,43,106,.247,.318,.316,.634,1.5
258,Yonder Alonso,CHW/COL,284,34,56,12,0,10,36,0,1,38,70,.197,.294,.345,.640,-0.9
16,Yordan Alvarez,HOU,279,53,88,23,0,25,75,0,0,48,81,.315,.417,.667,1.084,3.5
25,Yuli Gurriel,HOU,532,80,161,40,2,28,99,4,3,35,61,.303,.347,.543,.890,3.2
