RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
189,Tyler Mahle,CIN,22,22,116.1,125,73,66,29,120,2,11,0,0,0.3,1.32,5.11
125,Tyler Skaggs,LAA,15,15,79.2,73,41,38,28,78,7,7,0,0,1.0,1.27,4.29
 ,Vince Velasquez,PHI,30,20,103.2,103,59,57,41,113,6,7,0,0,0.3,1.39,4.95
210,Wade LeBlanc,SEA,26,8,121.1,145,80,77,31,92,6,7,0,0,0.4,1.45,5.71
70,Wade Miley,HOU,31,31,162.1,155,76,67,58,138,14,5,0,0,2.6,1.31,3.71
33,Walker Buehler,LAD,28,28,171.1,143,71,60,30,202,13,3,0,0,2.1,1.01,3.15
152,Wander Suero,WSH,71,0,66.0,61,34,34,23,75,5,8,1,5,0.6,1.27,4.64
229,Wei-Yin Chen,MIA,43,0,63.1,80,49,48,18,58,0,1,0,0,-0.9,1.55,6.82
27,Will Smith,SF,59,0,61.0,44,20,20,20,88,5,0,33,4,1.7,1.05,2.95
116,Wilmer Font,TOR/NYM/TB,43,15,77.0,71,36,36,25,86,4,4,0,1,1.0,1.25,4.21
50,Yimi Garcia,LAD,61,0,61.0,37,26,23,14,65,1,4,0,2,0.4,0.84,3.39
62,Yonny Chirinos,TB,23,17,126.2,106,55,51,28,110,9,5,0,0,2.6,1.06,3.62
93,Yu Darvish,CHC,29,29,163.1,127,75,72,55,204,6,6,0,0,3.0,1.11,3.97
202,Yusei Kikuchi,SEA,30,30,151.2,181,103,92,49,111,6,10,0,0,0.5,1.52,5.46
24,Yusmeiro Petit,OAK,74,0,76.1,54,24,24,9,64,5,3,0,1,2.0,0.83,2.83
 ,Zac Gallen,MIA/ARI,15,15,80.0,62,26,25,36,96,3,6,0,0,2.7,1.23,2.81
76,Zach Davies,MIL,28,28,145.2,148,70,61,48,94,9,7,0,0,2.1,1.35,3.77
114,Zach Eflin,PHI,29,25,143.2,153,79,67,40,117,8,12,0,0,1.2,1.34,4.20
64,Zach Plesac,CLE,19,19,106.1,91,46,43,37,79,8,6,0,0,1.9,1.20,3.64
219,Zack Godley,TOR/ARI,33,9,92.0,96,62,61,42,70,4,5,2,0,-0.6,1.50,5.97
26,Zack Greinke,HOU/ARI,31,31,195.1,166,69,64,29,174,16,5,0,0,5.3,1.00,2.95
105,Zack Wheeler,NYM,29,29,180.1,184,88,82,49,179,11,7,0,0,3.0,1.29,4.09
