RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Bryan Holaday,MIA,1,0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Caleb Joseph,ARI,2,0,1.1,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
